Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Veg_Flag,norm_Calories,norm_Fats,norm_Proteins,norm_Carbohydrates,norm_Sugars,norm_Fibre,norm_Iron,norm_Calcium,norm_Sodium,norm_Potassium,norm_VitaminD
aloo Tikki,0,1,1, ,22,0.2,2.4,0.91,23.0,14,224.0,4.1,2.0,0,1.3,0.0,-1.292311968329227,-0.7908726330056179,-0.7081054453464778,-0.9467643891601568,-0.43116211427766843,-0.18335279081549544,-0.30902613787810773,-0.3799814189875981,-0.7939022423343934,-0.07512893895879316,-0.19172222048333462
Kadhi,1,0,0,0,160,15.0,2.0,0.55,12.0,7,485.0,8.5,6.7,0,0.7,0.0,-0.3554066071397572,0.592008538036751,-0.7556639292411248,-0.7615028363578505,-0.46928781531077196,0.8237735640277215,-0.3546943178077359,-0.4850761422997901,-0.8170814138072872,1.351934037514926,-0.19172222048333462
Bananas,1,0,0,0,89,0.3,1.1,0.26,5.0,1,358.0,23.0,2.6,0,12.0,0.0,-0.8374376263024554,-0.7815288413093856,-0.8626705180040806,-0.15098181007752295,0.24874622081267778,-0.05478346892061665,-0.3914825738621586,-0.5519546025893669,-0.8369492750697675,0.6575394091158366,-0.19172222048333462
Bread made in wheat,0,1,1,0,250,1.5,10.0,2.76,20.0,439,165.0,49.0,4.1,0,6.1,0.0,0.2556186284185927,-0.669403340954599,0.1955057486518153,0.9437455473906508,-0.12615650601284026,0.26663983581658013,-0.07434243546196291,-0.4086436162545595,0.6134045970912941,-0.3977217190812048,-0.19172222048333462
Mango Chutney,1,0,0,0,349,0.4,14.0,6.8,190.0,298,77.0,77.0,13.0,0,46.0,0.0,0.9277463875327775,-0.7721850496131534,0.6710905875982853,2.1226827015871454,2.409202612688544,2.1737514439239485,0.43815602819275346,1.2155475622065905,0.1465098574230072,-0.8788770521451408,-0.19172222048333462
Baati,0,1,1,0,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6,0.0,-1.271944460477282,-0.7628412579169211,-0.5416507517152133,-0.9888692875243174,-0.4756420988162892,-0.011927028288990452,-0.26335795794847955,0.5276548277995152,-0.6548272134970313,0.575524295525393,-0.19172222048333462
Brown Rice,0,1,1,0,362,2.7,7.5,1.8,33.0,4,268.0,76.0,3.4,0,0.0,0.0,1.0160055882245391,-0.5572778405998123,-0.10173477568972848,2.080577803222985,-0.5137677998493927,0.11664229360588832,-0.19612424860763805,-0.28444076143105984,-0.8270153444385273,0.16544872757317483,-0.19172222048333462
Cauliflower,0,1,1,0,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0,0.0,-1.2244202754894102,-0.7815288413093856,-0.6367677195045073,-0.8541336127590037,-0.5137677998493927,0.09521407329007518,-0.3331287883965226,-0.29399482718671366,0.017368759216885285,0.2201254699668039,-0.19172222048333462
cheese,1,0,0,0,331,24.0,20.0,0.84,497.0,966,363.0,8.3,0.0,0,0.0,0.0,0.8055413404211075,1.432949790697651,1.3844678460179904,-0.7699238160306826,-0.5137677998493927,-0.611917197131758,-0.31790606175331326,4.1486457491923145,2.3584650779791465,0.6848777803126511,-0.19172222048333462
Coffee,1,0,0,0,2,0.0,0.3,0.02,2.0,1,50.0,0.2,0.0,0,0.0,0.0,-1.4280953540088603,-0.8095602163980823,-0.9577874857933745,-1.110973492780383,-0.5137677998493927,-0.611917197131758,-0.42192802714857747,-0.5806167998563284,-0.8369492750697675,-1.0265042566079392,-0.19172222048333462
