epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.339,1.33098,4.25529,1.77783,0.30209,0.19369,0.1119,0.06661,1.223,3.99486,1.76423,0.000137305,0.000137305,0.000137305
2,701.013,1.32004,3.38233,1.76614,0.42326,0.31313,0.23858,0.14172,1.33628,3.54599,1.78259,0.000248951,0.000248951,0.000248951
3,1106.9,1.30532,2.99334,1.71948,0.45334,0.38476,0.32973,0.19414,1.35149,3.46274,1.84239,0.000333075,0.000333075,0.000333075
4,1476.14,1.32517,2.7683,1.7262,0.33948,0.42977,0.35687,0.20402,1.37694,2.9342,1.84022,0.000293151,0.000293151,0.000293151
5,1816.53,1.25677,2.65296,1.68508,0.47682,0.5613,0.48783,0.28567,1.29336,2.84125,1.77654,0.000251868,0.000251868,0.000251868
6,2245.88,1.23957,2.42725,1.65626,0.46636,0.62535,0.53392,0.32781,1.25565,2.59106,1.71731,0.000210585,0.000210585,0.000210585
7,2753.72,1.21151,2.26799,1.61626,0.61408,0.58582,0.61043,0.38452,1.23908,2.5074,1.67337,0.000169302,0.000169302,0.000169302
8,3266.94,1.18762,2.10167,1.59953,0.60728,0.66934,0.6676,0.43017,1.2424,2.28416,1.69599,0.000128019,0.000128019,0.000128019
9,3784.37,1.16716,2.03053,1.56295,0.65113,0.69648,0.7007,0.45795,1.19154,2.16091,1.64703,8.6736e-05,8.6736e-05,8.6736e-05
10,4209.36,1.15187,1.91852,1.55951,0.71857,0.70922,0.72769,0.47411,1.22537,2.10818,1.66439,4.5453e-05,4.5453e-05,4.5453e-05
